,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AvgScore
0,female,NotStated,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74,72
1,female,group C,some college,standard,NotStated,married,sometimes,yes,0,Others,< 10,69,90,88,82.33333333
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91,90.33333333
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,Others,< 10,45,56,42,47.66666667
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,< 10,76,78,75,76.33333333
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,< 10,73,84,79,78.66666667
6,female,group B,some college,standard,completed,widowed,never,no,1,private,< 10,85,93,89,89
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39,41
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68,65.66666667
9,female,group B,high school,free/reduced,none,married,regularly,yes,NotStated,private,< 5,37,59,50,48.66666667
10,male,group C,associate's degree,standard,none,NotStated,sometimes,yes,1,private,< 10,58,54,52,54.66666667
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,< 10,40,52,43,45
12,female,group B,high school,standard,none,married,regularly,no,1,private,< 10,66,82,74,74
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71,74.66666667
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58,53
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,NotStated,69,75,78,74
16,male,group C,high school,standard,NotStated,married,sometimes,yes,0,school_bus,< 10,88,89,86,87.66666667
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,< 10,18,32,28,26
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,< 10,46,42,47,45
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58,54.66666667
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,< 10,66,69,63,66
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,< 10,65,75,70,70
22,male,group D,Others,standard,none,married,never,yes,5,Others,< 10,42,53,51,48.66666667
23,female,group C,some high school,standard,none,divorced,never,no,3,Others,< 10,66,71,71,69.33333333
24,male,group D,Others,free/reduced,completed,married,sometimes,yes,2,school_bus,< 10,74,71,80,75
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,< 10,75,76,76,75.66666667
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53,57.33333333
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76,71.66666667
28,male,group C,high school,standard,none,married,sometimes,no,1,private,< 10,70,70,65,68.33333333
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72,70
31,female,group B,some college,standard,none,single,sometimes,yes,5,Others,< 10,63,65,61,63
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,< 10,56,73,66,65
33,male,NotStated,some college,standard,none,married,sometimes,no,2,private,< 10,40,42,38,40
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,NotStated,97,87,82,88.66666667
35,male,group E,associate's degree,standard,completed,single,sometimes,no,NotStated,school_bus,< 10,81,81,79,80.33333333
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,< 10,76,82,85,81
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,< 10,51,64,60,58.33333333
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,< 10,77,91,90,86
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,< 10,58,56,58,57.33333333
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,< 10,53,60,52,55
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,Others,< 10,59,74,69,67.33333333
43,male,group B,some college,free/reduced,NotStated,married,regularly,yes,3,school_bus,< 10,60,65,67,64
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52,51.66666667
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55,57
47,female,group C,high school,standard,none,married,regularly,yes,NotStated,private,< 10,67,72,77,72
49,male,group C,high school,standard,completed,married,sometimes,NotStated,3,Others,< 10,82,84,82,82.66666667
50,male,group E,some college,standard,none,married,NotStated,no,3,school_bus,> 10,54,55,48,52.33333333
51,male,NotStated,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68,70.66666667
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43,48
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,< 10,88,78,75,80.33333333
54,female,NotStated,some high school,free/reduced,completed,married,regularly,yes,NotStated,private,> 10,75,86,90,83.66666667
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,< 10,33,41,43,39
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87,85.66666667
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,< 10,52,55,49,52
58,male,group D,Others,standard,completed,married,regularly,no,1,private,> 10,61,60,60,60.33333333
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10,9
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,NotStated,school_bus,< 10,39,39,34,37.33333333
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,< 10,62,61,55,59.33333333
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,< 10,59,58,59,58.66666667
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58,61
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,< 10,45,37,37,39.66666667
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,< 10,61,73,75,69.66666667
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,NotStated,62,58,57,59
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 10,39,64,57,53.33333333
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64,61
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,< 10,42,51,49,47.33333333
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,< 10,59,56,54,56.33333333
74,male,group C,some high school,standard,NotStated,married,sometimes,yes,2,private,< 5,47,48,40,45
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,NotStated,school_bus,< 10,44,41,38,41
76,male,group E,some high school,standard,none,NotStated,sometimes,no,5,school_bus,< 10,28,25,21,24.66666667
77,male,group A,Others,standard,completed,NotStated,regularly,yes,NotStated,Others,< 10,82,79,83,81.33333333
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73,70
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,< 10,60,68,68,65.33333333
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52,50.33333333
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,NotStated,49,45,45,46.33333333
82,male,group A,some college,free/reduced,completed,married,sometimes,no,NotStated,school_bus,< 10,50,47,54,50.33333333
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,< 10,74,64,64,67.33333333
84,male,group D,high school,free/reduced,none,married,never,NotStated,3,private,< 10,40,38,33,37
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,< 10,73,80,82,78.33333333
86,female,group C,some college,free/reduced,none,married,sometimes,yes,NotStated,school_bus,< 5,73,81,86,80
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,< 10,71,71,74,72
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67,64.33333333
89,female,group D,some high school,standard,none,single,sometimes,yes,NotStated,private,> 10,75,87,83,81.66666667
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,Others,< 10,27,34,36,32.33333333
92,male,group C,high school,standard,none,divorced,sometimes,no,1,Others,< 5,68,77,69,71.33333333
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52,47.66666667
94,female,group B,some college,standard,none,married,regularly,yes,4,private,< 10,81,87,94,87.33333333
96,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,< 10,63,65,61,63
97,female,NotStated,some college,standard,completed,married,never,yes,0,school_bus,< 5,59,69,66,64.66666667
98,female,group D,some college,free/reduced,none,single,regularly,yes,2,Others,> 10,61,69,64,64.66666667
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62,64
100,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,< 10,79,67,67,71
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,< 10,68,74,74,72
102,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,< 10,87,92,91,90
103,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,< 10,61,44,48,51
104,male,NotStated,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,100,88,94,94
105,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,< 10,58,67,72,65.66666667
106,female,group D,master's degree,standard,none,married,sometimes,no,3,private,< 10,87,100,100,95.66666667
107,male,group E,Others,standard,completed,single,sometimes,yes,0,school_bus,< 10,66,63,64,64.33333333
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,< 10,52,76,70,66
109,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,< 10,72,64,73,69.66666667
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99,89.33333333
111,male,group C,high school,standard,none,single,regularly,no,6,Others,< 10,63,55,50,56
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,< 10,54,53,47,51.33333333
113,female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,47,56,51,51.33333333
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100,99
115,male,group C,high school,standard,none,married,sometimes,yes,4,private,< 10,84,77,74,78.33333333
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,< 10,72,83,79,78
117,female,group D,bachelor's degree,standard,none,married,never,no,2,private,< 10,75,80,77,77.33333333
118,female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,54,64,63,60.33333333
119,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,< 10,55,69,65,63
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,< 10,76,90,86,84
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90,88.33333333
122,female,group C,some college,standard,completed,single,regularly,yes,1,Others,< 10,90,94,95,93
123,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,NotStated,63,57,56,58.66666667
124,male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73,78
125,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85,88.33333333
126,male,group B,Others,standard,none,married,NotStated,no,3,private,< 10,72,68,67,69
127,male,group D,some college,standard,NotStated,married,regularly,no,3,school_bus,< 5,64,76,74,71.33333333
128,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72,76.66666667
129,female,group A,bachelor's degree,standard,none,NotStated,regularly,yes,0,school_bus,< 10,52,49,52,51
130,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82,84.33333333
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40,42.66666667
132,male,NotStated,some college,free/reduced,completed,married,regularly,yes,2,school_bus,< 10,89,75,71,78.33333333
133,female,NotStated,some college,standard,completed,married,never,no,6,Others,< 5,70,78,80,76
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76,77.33333333
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,Others,< 5,56,54,47,52.33333333
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,< 10,51,54,41,48.66666667
137,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54,58.33333333
138,female,group C,associate's degree,standard,NotStated,married,sometimes,yes,1,private,< 10,59,66,67,64
139,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70,68
140,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,< 10,76,72,71,73
141,female,group C,some college,free/reduced,none,married,regularly,no,2,private,< 10,60,62,65,62.33333333
142,female,group E,some college,free/reduced,completed,single,regularly,NotStated,1,private,< 5,41,54,54,49.66666667
143,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,< 10,57,43,47,49
144,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79,81
145,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33,30.66666667
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79,72.33333333
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,< 10,100,100,95,98.33333333
150,male,group A,some high school,standard,completed,married,sometimes,no,2,private,< 10,62,67,69,66
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64,63
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1,Others,< 10,54,49,47,50
154,male,group D,some high school,standard,none,single,never,no,2,Others,< 5,58,65,58,60.33333333
155,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88,81.66666667
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,< 10,67,75,79,73.66666667
157,male,group B,Others,free/reduced,none,NotStated,sometimes,yes,2,school_bus,< 5,58,59,58,58.33333333
158,female,group B,associate's degree,standard,NotStated,divorced,regularly,yes,2,private,< 10,62,87,89,79.33333333
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66,66.33333333
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,< 10,82,78,74,78
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,< 10,75,88,85,82.66666667
162,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,< 10,48,53,52,51
163,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,< 10,52,53,49,51.33333333
164,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86,83.66666667
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,< 10,96,100,100,98.66666667
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,< 10,53,51,51,51.66666667
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83,74.66666667
168,female,group B,high school,standard,completed,married,regularly,yes,2,private,< 10,70,84,79,77.66666667
170,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77,76
171,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76,84.33333333
172,female,group D,some college,standard,none,single,never,yes,3,school_bus,< 10,76,84,78,79.33333333
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,< 10,63,67,70,66.66666667
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52,47.66666667
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,< 10,81,92,89,87.33333333
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56,51
177,female,group C,associate's degree,standard,completed,married,regularly,yes,NotStated,school_bus,< 5,70,76,77,74.33333333
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,< 10,54,72,65,63.66666667
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,< 10,99,100,100,99.66666667
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75,67.66666667
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,< 10,46,64,66,58.66666667
182,female,group E,high school,standard,none,married,sometimes,yes,3,private,NotStated,50,50,47,49
183,female,group D,associate's degree,standard,none,single,sometimes,no,NotStated,private,< 5,63,67,68,66
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62,62.66666667
186,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62,70
187,male,group D,some high school,standard,completed,married,sometimes,no,4,private,< 10,62,66,68,65.33333333
188,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45,47.66666667
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85,81.66666667
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,< 10,66,65,69,66.66666667
191,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77,77
192,female,group B,some high school,standard,none,single,sometimes,no,3,private,NotStated,62,64,66,64
193,male,group D,some college,standard,completed,married,regularly,yes,4,Others,NotStated,79,62,63,68
194,female,group C,master's degree,standard,completed,NotStated,regularly,yes,1,school_bus,< 5,69,85,87,80.33333333
195,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52,55.33333333
196,male,group C,Others,free/reduced,completed,married,never,yes,1,school_bus,< 10,57,67,63,62.33333333
197,male,group E,high school,free/reduced,none,married,NotStated,no,7,private,> 10,56,56,52,54.66666667
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3,Others,> 10,47,54,57,52.66666667
199,female,group B,bachelor's degree,free/reduced,NotStated,married,regularly,yes,3,private,< 10,80,80,77,79
200,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86,78.33333333
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75,72.33333333
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,< 10,69,77,69,71.66666667
203,female,NotStated,associate's degree,standard,none,NotStated,regularly,yes,2,school_bus,< 10,58,70,69,65.66666667
204,male,group C,some college,standard,none,single,regularly,yes,1,Others,< 5,58,40,42,46.66666667
205,male,group D,some high school,standard,completed,married,NotStated,yes,NotStated,school_bus,< 5,71,69,76,72
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,< 10,84,62,63,69.66666667
207,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,< 10,83,81,77,80.33333333
208,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76,76.33333333
